,Open,High,Low,Close,Adj Close,Volume
2025-08-20 13:20:00,340.4357,340.55,339.37,339.7129,339.7129,79617
2025-08-20 13:25:00,339.6,339.64,338.93,339.07,339.07,131913
2025-08-20 13:30:00,339.14,341.4602,339.0,341.4602,341.4602,113649
2025-08-20 13:35:00,341.38,342.93,341.1268,342.8668,342.8668,110286
2025-08-20 13:40:00,342.82,343.6,342.47,343.47,343.47,95381
2025-08-20 13:45:00,343.43,343.96,342.65,342.95,342.95,94482
2025-08-20 13:50:00,342.76,343.31,342.0,342.9526,342.9526,58232
2025-08-20 13:55:00,342.76,343.0,342.0201,342.89,342.89,49418
2025-08-20 14:00:00,342.89,343.33,340.32,340.89,340.89,72582
2025-08-20 14:05:00,340.89,341.26,338.7,339.0,339.0,217246
2025-08-20 14:10:00,338.99,340.21,338.46,339.97,339.97,133047
2025-08-20 14:15:00,339.88,340.4599,339.0872,340.06,340.06,70611
2025-08-20 14:20:00,340.06,340.15,338.2301,338.63,338.63,103010
2025-08-20 14:25:00,338.63,338.765,337.73,338.23,338.23,85269
2025-08-20 14:30:00,338.32,339.795,338.0101,339.795,339.795,83340
2025-08-20 14:35:00,339.87,341.0,339.04,340.96,340.96,69795
2025-08-20 14:40:00,341.05,341.94,341.0,341.235,341.235,72930
2025-08-20 14:45:00,341.4,342.4,341.24,341.28,341.28,60890
2025-08-20 14:50:00,341.38,342.03,340.56,341.65,341.65,77746
2025-08-20 14:55:00,341.6364,341.78,340.1848,340.48,340.48,63906
2025-08-20 15:00:00,340.4,342.1,340.4,341.0001,341.0001,66435
2025-08-20 15:05:00,341.0672,341.8996,340.98,341.55,341.55,47620
2025-08-20 15:10:00,341.43,342.82,341.43,342.635,342.635,79522
2025-08-20 15:15:00,342.74,343.0,342.61,342.65,342.65,64975
2025-08-20 15:20:00,342.695,343.2999,342.3801,343.13,343.13,70987
2025-08-20 15:25:00,342.8799,343.04,341.99,342.745,342.745,76246
2025-08-20 15:30:00,342.5,343.5599,342.4,343.3676,343.3676,93711
2025-08-20 15:35:00,343.425,343.88,343.26,343.44,343.44,107507
2025-08-20 15:40:00,343.5615,344.45,343.36,344.2218,344.2218,112527
2025-08-20 15:45:00,344.1601,344.75,343.96,344.5,344.5,180495
2025-08-20 15:50:00,344.5,345.5,344.14,344.3,344.3,298005
2025-08-20 15:55:00,344.475,344.59,343.26,344.36,344.36,778613
2025-08-20 16:00:00,344.36,344.9,343.9,344.65,344.65,2673361
2025-08-20 16:05:00,344.71,345.65,344.32,344.89,344.89,28378
2025-08-20 16:10:00,344.89,345.26,344.37,344.71,344.71,35334
2025-08-20 16:15:00,344.95,344.95,343.9,344.7,344.7,42311
2025-08-20 16:20:00,344.07,344.7,343.9,344.34,344.34,79535
2025-08-20 16:25:00,344.36,344.9,344.0,344.8,344.8,8117
2025-08-20 16:30:00,344.32,345.24,344.3,344.5,344.5,1762
2025-08-20 16:35:00,344.98,345.24,344.37,344.99,344.99,4982
2025-08-20 16:40:00,345.1,345.23,344.81,345.22,345.22,1057
2025-08-20 16:45:00,345.22,345.5,344.83,345.31,345.31,785
2025-08-20 16:50:00,345.1,345.51,345.01,345.2,345.2,2852
2025-08-20 16:55:00,345.36,345.7,345.0467,345.0467,345.0467,3130
2025-08-20 17:00:00,345.6,345.7,345.05,345.45,345.45,3053
2025-08-20 17:05:00,345.45,345.7,345.2,345.61,345.61,2391
2025-08-20 17:10:00,345.61,345.7,345.1,345.55,345.55,1079
2025-08-20 17:15:00,345.5,345.6,345.13,345.13,345.13,2655
2025-08-20 17:20:00,345.13,345.4,344.5,344.75,344.75,2180
2025-08-20 17:25:00,344.95,345.52,344.0,344.85,344.85,1044
2025-08-20 17:30:00,344.85,345.59,344.0,344.8,344.8,586
2025-08-20 17:35:00,344.8,345.7,344.05,345.325,345.325,399
2025-08-20 17:40:00,345.15,345.5535,344.28,345.44,345.44,1387
2025-08-20 17:45:00,345.55,345.55,344.92,345.55,345.55,1010
2025-08-20 17:50:00,345.52,345.5999,345.0667,345.32,345.32,1943
2025-08-20 17:55:00,345.6,345.85,345.14,345.55,345.55,3232
2025-08-20 18:00:00,345.2212,345.82,345.2,345.7,345.7,426
2025-08-20 18:05:00,345.82,345.82,345.2,345.69,345.69,765
2025-08-20 18:10:00,345.82,345.9,345.2,345.9,345.9,3801
2025-08-20 18:15:00,345.87,345.9,345.21,345.3677,345.3677,535
2025-08-20 18:20:00,345.87,345.9,345.21,345.75,345.75,1109
2025-08-20 18:25:00,345.87,345.9,345.55,345.89,345.89,1004
