,Open,High,Low,Close,Adj Close,Volume
2025-08-04,372.77,390.02,366.2001,389.24,389.24,12362382
2025-08-05,384.175,388.305,373.35,375.46,375.46,8467080
2025-08-06,374.75,384.42,373.001,383.41,383.41,7242638
2025-08-07,388.4,406.24,387.14,402.01,402.01,13051194
2025-08-08,397.6,409.65,389.03,395.13,395.13,11200116
2025-08-11,403.92,414.36,398.92,400.25,400.25,10394429
2025-08-12,400.5,401.67,390.14,394.39,394.39,8365108
2025-08-13,397.73,399.44,383.55,389.9,389.9,10884943
2025-08-14,380.0,381.0,365.0,372.94,372.94,16461651
2025-08-15,372.21,372.62,360.0322,366.32,366.32,13125281
2025-08-18,359.945,367.5658,358.01,363.6,363.6,9001954
2025-08-19,363.19,364.63,333.4,336.57,336.57,18254611
2025-08-20,339.38,345.5,325.56,344.37,344.37,13807212
2025-08-21,340.0,343.27,334.85,337.58,337.58,8398545
2025-08-22,335.2,359.53,332.61,358.13,358.13,17386939
2025-08-25,344.91,351.51,339.2109,343.2,343.2,10983426
2025-08-26,341.805,351.99,340.68,351.36,351.36,9144162
2025-08-27,348.68,351.77,341.84,342.06,342.06,8454295
2025-08-28,346.16,348.1699,336.65,338.84,338.84,8116129
2025-08-29,334.6,339.63,332.64,334.41,334.41,10162267
2025-09-02,334.93,348.6,331.57,341.62,341.62,11123010
2025-09-03,341.77,344.5,327.609,330.26,330.26,9124235
