,Open,High,Low,Close,Adj Close,Volume
2024-09-03,132.0,132.73,122.19,122.32,122.32,8258810
2024-09-04,120.25,125.98,117.9401,124.85,124.85,7913196
2024-09-05,122.35,126.83,119.43,119.57,119.57,6066645
2024-09-06,122.93,124.69,113.69,114.3,114.3,8795527
2024-09-09,118.93,125.2289,117.5003,124.82,124.82,9771186
2024-09-10,123.0,129.82,121.55,129.64,129.64,7738025
2024-09-11,124.805,131.0,121.3,129.28,129.28,8731203
2024-09-12,129.0,134.1,127.2723,130.77,130.77,6052392
2024-09-13,131.1,143.0,129.84,141.47,141.47,12239123
2024-09-16,137.02,137.88,132.67,134.53,134.53,8765884
2024-09-17,138.37,140.16,128.8209,131.27,131.27,21043391
2024-09-18,130.44,139.49,128.51,132.67,132.67,16345621
2024-09-19,140.45,148.96,139.62,144.66,144.66,20177336
2024-09-20,144.39,148.03,141.64,144.78,144.78,12332317
2024-09-23,147.48,151.59,145.0149,149.97,149.97,10090260
2024-09-24,150.16,154.33,146.7074,153.88,153.88,9365235
2024-09-25,152.3,157.88,151.5,151.94,151.94,7839376
2024-09-26,157.63,167.51,156.3806,165.98,165.98,17068474
2024-09-27,170.48,179.6,168.305,176.22,176.22,17321178
2024-09-30,168.63,175.5064,167.314,168.6,168.6,13443437
2024-10-01,168.52,169.4299,157.02,162.69,162.69,14103324
2024-10-02,160.51,173.88,159.16,164.64,164.64,12557459
2024-10-03,163.39,165.86,157.82,163.41,163.41,8814224
2024-10-04,166.72,176.55,163.9651,176.51,176.51,14069711
2024-10-07,179.71,191.99,178.8,186.09,186.09,19825952
2024-10-08,186.1,198.49,184.45,192.2,192.2,20984756
2024-10-09,189.77,198.3899,185.25,188.91,188.91,13445318
2024-10-10,191.89,192.2,178.0,183.34,183.34,15937522
2024-10-11,188.5,212.81,187.41,212.59,212.59,29933775
2024-10-14,224.48,227.15,201.43,201.67,201.67,31736611
2024-10-15,206.73,211.1599,189.7,194.31,194.31,23114601
2024-10-16,199.9,200.615,191.96,194.09,194.09,12434577
2024-10-17,192.8,198.88,185.81,193.42,193.42,11414281
2024-10-18,197.59,218.65,197.1,215.86,215.86,22814822
2024-10-21,214.49,223.15,208.45,219.05,219.05,18028627
2024-10-22,216.21,221.4,212.084,219.7,219.7,13758062
2024-10-23,215.08,222.85,204.91,213.95,213.95,17025503
2024-10-24,220.09,236.29,218.25,235.89,235.89,23221545
2024-10-25,236.385,245.5657,227.75,234.34,234.34,25093205
